key,fr,nl,family,good,bad,attract,repel,notes_fr,notes_nl
tomato,Tomate,Tomaat,solanaceae,basil|borage|carrot|chive|garlic|lettuce|marigold|nasturtium|onion|parsley,broccoli|cabbage|cauliflower|corn|fennel|kale|potato,,aphids|hornworm|whitefly,"Éviter proximité pommes de terre (risque mildiou partagé). Aime basilic, œillet d’Inde (Tagetes), capucine, bourrache.","Vermijd nabijheid van aardappelen (gedeeld risico op meeldauw). Gaat goed met basilicum, afrikaantje (Tagetes), oost‑Indische kers, bernagie."
potato,Pomme de terre,Aardappel,solanaceae,bean_bush|bean_pole|cabbage|marigold|nasturtium,chili|cucumber|eggplant|pepper|pumpkin|sunflower|tomato,,colorado_beetle,"Les haricots aident contre le doryphore. Éviter solanacées (tomate, aubergine, piment).","Bonen helpen tegen de coloradokever. Vermijd andere nachtschaden (tomaat, aubergine, peper)."
eggplant,Aubergine,Aubergine,solanaceae,basil|bean_bush|bean_pole|marigold|nasturtium,potato,,,Apprécie la chaleur; supporte bien les compagnons aromatiques (basilic).,Houdt van warmte; gaat goed samen met aromaten (basilicum).
pepper,Poivron,Paprika,solanaceae,basil|carrot|marigold|nasturtium|onion,fennel|potato,,,Basilic améliore souvent la vigueur. Éviter fenouil.,Basilicum bevordert vaak de groei. Vermijd venkel.
chili,Piment/Chili,Peper/Chili,solanaceae,basil|carrot|marigold|nasturtium|onion,fennel|potato,,,,
cucumber,Concombre,Komkommer,cucurbitaceae,bean_bush|bean_pole|borage|corn|dill|marigold|nasturtium|radish,mint|potato|rosemary|sage,,aphids|mites|slugs,Les capucines et tagètes aident contre pucerons; radis repoussent parfois les coléoptères du concombre. Éviter sauge/romarin/menthe collés.,Oost‑Indische kers en afrikaantjes helpen tegen bladluizen; radijs weert soms komkommerkevers. Vermijd salie/rozemarijn/munt vlakbij.
zucchini,Courgette,Courgette,cucurbitaceae,bean_bush|bean_pole|borage|corn|dill|marigold|nasturtium|radish,mint|potato|rosemary|sage,,aphids|mites|slugs,Les capucines et tagètes aident contre pucerons; radis repoussent parfois les coléoptères du concombre. Éviter sauge/romarin/menthe collés.,Oost‑Indische kers en afrikaantjes helpen tegen bladluizen; radijs weert soms komkommerkevers. Vermijd salie/rozemarijn/munt vlakbij.
pumpkin,Citrouille/Potiron,Pompoen,cucurbitaceae,bean_bush|bean_pole|borage|corn|dill|marigold|nasturtium|radish,mint|potato|rosemary|sage,,aphids|mites|slugs,Les capucines et tagètes aident contre pucerons; radis repoussent parfois les coléoptères du concombre. Éviter sauge/romarin/menthe collés.,Oost‑Indische kers en afrikaantjes helpen tegen bladluizen; radijs weert soms komkommerkevers. Vermijd salie/rozemarijn/munt vlakbij.
squash,Courge,Kalebas,cucurbitaceae,bean_bush|bean_pole|borage|corn|dill|marigold|nasturtium|radish,mint|potato|rosemary|sage,,aphids|mites|slugs,Les capucines et tagètes aident contre pucerons; radis repoussent parfois les coléoptères du concombre. Éviter sauge/romarin/menthe collés.,Oost‑Indische kers en afrikaantjes helpen tegen bladluizen; radijs weert soms komkommerkevers. Vermijd salie/rozemarijn/munt vlakbij.
melon,Melon,Meloen,cucurbitaceae,bean_bush|bean_pole|borage|corn|dill|marigold|nasturtium|radish,mint|potato|rosemary|sage,,aphids|mites|slugs,Les capucines et tagètes aident contre pucerons; radis repoussent parfois les coléoptères du concombre. Éviter sauge/romarin/menthe collés.,Oost‑Indische kers en afrikaantjes helpen tegen bladluizen; radijs weert soms komkommerkevers. Vermijd salie/rozemarijn/munt vlakbij.
cabbage,Chou cabus,Kool,brassicaceae,bean_bush|bean_pole|celery|chamomile|dill|garlic|marigold|mint|nasturtium|onion|pea|sage|thyme,fennel|strawberry|tomato,,aphids|cabbage_moth|flea_beetle,"Apprécie alliacées, céleri, aromatiques (thym, sauge). Capucine pour détourner pucerons.","Houdt van lookachtigen, selder en aromaten (tijm, salie). Oost‑Indische kers als lokplant voor bladluizen."
cauliflower,Chou-fleur,Bloemkool,brassicaceae,bean_bush|bean_pole|celery|chamomile|dill|garlic|marigold|mint|nasturtium|onion|pea|sage|thyme,fennel|strawberry|tomato,,aphids|cabbage_moth|flea_beetle,"Apprécie alliacées, céleri, aromatiques (thym, sauge). Capucine pour détourner pucerons.","Houdt van lookachtigen, selder en aromaten (tijm, salie). Oost‑Indische kers als lokplant voor bladluizen."
broccoli,Brocoli,Broccoli,brassicaceae,bean_bush|bean_pole|celery|chamomile|dill|garlic|marigold|mint|nasturtium|onion|pea|sage|thyme,fennel|strawberry|tomato,,aphids|cabbage_moth|flea_beetle,"Apprécie alliacées, céleri, aromatiques (thym, sauge). Capucine pour détourner pucerons.","Houdt van lookachtigen, selder en aromaten (tijm, salie). Oost‑Indische kers als lokplant voor bladluizen."
kale,Chou frisé/Kale,Boerenkool,brassicaceae,bean_bush|bean_pole|celery|chamomile|dill|garlic|marigold|mint|nasturtium|onion|pea|sage|thyme,fennel|strawberry|tomato,,aphids|cabbage_moth|flea_beetle,"Apprécie alliacées, céleri, aromatiques (thym, sauge). Capucine pour détourner pucerons.","Houdt van lookachtigen, selder en aromaten (tijm, salie). Oost‑Indische kers als lokplant voor bladluizen."
kohlrabi,Chou-rave,Koolrabi,brassicaceae,bean_bush|bean_pole|celery|chamomile|dill|garlic|marigold|mint|nasturtium|onion|pea|sage|thyme,fennel|strawberry|tomato,,aphids|cabbage_moth|flea_beetle,"Apprécie alliacées, céleri, aromatiques (thym, sauge). Capucine pour détourner pucerons.","Houdt van lookachtigen, selder en aromaten (tijm, salie). Oost‑Indische kers als lokplant voor bladluizen."
radish,Radis,Radijs,brassicaceae,bean_bush|bean_pole|celery|chamomile|dill|garlic|marigold|mint|nasturtium|onion|pea|sage|thyme,fennel|strawberry|tomato,,aphids|cabbage_moth|flea_beetle,"Apprécie alliacées, céleri, aromatiques (thym, sauge). Capucine pour détourner pucerons.","Houdt van lookachtigen, selder en aromaten (tijm, salie). Oost‑Indische kers als lokplant voor bladluizen."
turnip,Navet,Knolraap,brassicaceae,bean_bush|bean_pole|celery|chamomile|dill|garlic|marigold|mint|nasturtium|onion|pea|sage|thyme,fennel|strawberry|tomato,,aphids|cabbage_moth|flea_beetle,"Apprécie alliacées, céleri, aromatiques (thym, sauge). Capucine pour détourner pucerons.","Houdt van lookachtigen, selder en aromaten (tijm, salie). Oost‑Indische kers als lokplant voor bladluizen."
bean_bush,Haricot nain,Struikboon,fabaceae,cabbage|celery|corn|cucumber|potato|strawberry,fennel|garlic|leek|onion|shallot|sunflower,,colorado_beetle,"Éviter la proximité des alliacées. Bon avec maïs, cucurbitacées, choux.","Vermijd lookachtigen. Goed met maïs, komkommerachtigen, kolen."
bean_pole,Haricot à rames,Stokboon,fabaceae,corn|cucumber|squash,beet|fennel|garlic|leek|onion|shallot|sunflower,,,Classique «Trois Sœurs» avec maïs + courges.,Klassieke ‘Drie Zusters’ met maïs + pompoen.
pea,Pois,Erwt,fabaceae,carrot|cucumber|lettuce|radish|spinach|turnip,fennel|garlic|leek|onion|shallot,,,,
fava,Fève,Tuinboon,fabaceae,cabbage|corn|potato|spinach,fennel|garlic|leek|onion|shallot,,,,
onion,Oignon,Ui,alliaceae,beet|carrot|lettuce|strawberry,bean_bush|bean_pole|fava|pea,,carrot_fly,,
garlic,Ail,Knoflook,alliaceae,carrot|lettuce|strawberry|tomato,bean_bush|bean_pole|fava|pea,,aphids|mites|slugs,,
leek,Poireau,Prei,alliaceae,carrot|celery|strawberry,bean_bush|bean_pole|fava|pea,,carrot_fly,,
shallot,Échalote,Sjalot,alliaceae,beet|carrot|strawberry,bean_bush|bean_pole|fava|pea,,,,
carrot,Carotte,Wortel,apiaceae,chive|leek|lettuce|onion|pea|radish|rosemary|sage,dill|fennel,,carrot_fly,,
celery,Céleri,Selder,apiaceae,bean_bush|bean_pole|cabbage|onion|tomato,fennel,,,,
fennel,Fenouil,Venkel,apiaceae,,bean_bush|bean_pole|beet|broccoli|cabbage|carrot|cauliflower|celery|chard|chili|cucumber|eggplant|fava|garlic|kale|kohlrabi|leek|lettuce|melon|onion|pea|pepper|potato|pumpkin|shallot|spinach|squash|strawberry|tomato|zucchini,,,Allélopathie forte: tenir à distance du potager.,Sterke allelopathie: op afstand van de moestuin houden.
dill,Aneth,Dille,apiaceae,cabbage|cucumber|lettuce|onion,carrot,,,,
coriander,Coriandre,Koriander,apiaceae,broccoli|cabbage|cauliflower|lettuce|onion|spinach,,,,Attire auxiliaires; utile en lisière.,Lokt nuttigen; nuttig langs randen.
parsley,Persil,Peterselie,apiaceae,chive|onion|tomato,,,,,
beet,Betterave,Biet,chenopodiaceae,cabbage|lettuce|onion,bean_pole,,,,
chard,Blette/Bettes,Snijbiet,chenopodiaceae,bean_bush|cabbage|onion,,,,,
spinach,Épinard,Spinazie,chenopodiaceae,pea|strawberry,,,,,
lettuce,Laitue,Sla,asteraceae,carrot|cucumber|onion|radish|strawberry,,,,,
sunflower,Tournesol,Zonnebloem,asteraceae,bean_pole|cucumber|squash,bean_bush|bean_pole|potato,,,Peut servir de tuteur vivant. Attention à l’allélopathie envers légumineuses.,Kan als levende steun dienen. Let op allelopathie t.o.v. peulvruchten.
marigold,Œillet d'Inde (Tagetes),Afrikaantje (Tagetes),asteraceae,bean_bush|bean_pole|cucumber|eggplant|pepper|potato|squash|tomato|zucchini,,,aphids|nematodes|whitefly,Tagetes: action nématicide reconnue au potager.,Tagetes: bekend nématicide in de moestuin.
calendula,Souci (Calendula),Goudsbloem (Calendula),asteraceae,broccoli|cabbage|cauliflower|lettuce|onion|tomato,,aphids,,Souci attire auxiliaires; tolère pucerons comme plantes-pièges.,Goudsbloem lokt nuttigen; kan als lokplant voor bladluizen dienen.
chamomile,Camomille,Kamille,asteraceae,broccoli|cabbage|cauliflower|onion,,,,"Favorise la vigueur générale, utile en bordure.","Verbetert algemene vitaliteit, nuttig aan randen."
yarrow,Achillée millefeuille,Duizendblad,asteraceae,cabbage|lettuce|onion|strawberry|tomato,,,,Améliore la biodiversité; attire Syrphes/parasitoïdes.,Verhoogt biodiversiteit; lokt zweefvliegen/parasitoïden.
basil,Basilic,Basilicum,lamiaceae,chili|pepper|tomato,,,,Améliore goût et vigueur de la tomate; répulsif léger.,Verbetert smaak en vitaliteit van tomaat; lichte afweer.
thyme,Thym,Tijm,lamiaceae,cabbage|strawberry,,,cabbage_moth,Réduit attaques de piérides.,Minder koolwitjes.
rosemary,Romarin,Rozemarijn,lamiaceae,cabbage|carrot,cucumber,,,Repousse mouche de la carotte; éviter près des cucurbitacées.,Weert wortelvlieg; vermijd bij komkommerachtigen.
sage,Sauge,Salie,lamiaceae,cabbage|carrot,cucumber,,,Réduit mouches; éviter près du concombre.,Minder vliegen; vermijd nabij komkommer.
mint,Menthe,Munt,lamiaceae,cabbage|lettuce,,,,Répulsive mais envahissante; cultiver en pot enterré.,Afwerend maar woekerend; in pot houden.
lavender,Lavande,Lavendel,lamiaceae,cabbage|lettuce,,,,Repousse papillons sur brassicacées.,Weert vlinders op kolen.
borage,Bourrache,Bernagie/Komkommerkruid,boraginaceae,cucumber|squash|strawberry|tomato,,,,Très mellifère; améliore vigueur des fraisiers et des tomates.,Sterk nectarplanten; bevordert aardbeien en tomaten.
corn,Maïs,Maïs,poaceae,bean_bush|bean_pole|cucumber|melon|pea|squash,tomato,,,Support pour haricots à rames; trio «Trois Sœurs».,Steun voor stokbonen; trio ‘Drie Zusters’.
strawberry,Fraisier,Aardbei,rosaceae,borage|garlic|lettuce|onion|spinach|thyme,broccoli|cabbage|cauliflower|kale,,,,
chive,Ciboulette,Bieslook,alliaceae,carrot|strawberry|tomato,,,aphids,,
parsley,Persil,Peterselie,apiaceae,chive|onion|tomato,,,,,
